CHAIN,"2020 U.S. Sales ($000,000)",YOY SALES CHANGE,2020 U.S. UNITS,YOY UNIT CHANGE,SEGMENT,MENU CATEGORY
Raising Cane's Chicken Fingers,"$1,723 ",17.50%,509,11.40%,Fast Casual,Chicken
Red Lobster,"$1,755 ",-29.50%,675,-0.60%,Casual Dining,Seafood
Red Robin,"$1,050 ",-32.40%,546,-1.80%,Casual Dining,Varied Menu
Round Table Pizza,$439 ,2.80%,414,-3.30%,Quick Service,Pizza
Ruth's Chris Steak House,$429 ,-39.00%,128,-5.20%,Fine Dining,Steak
Shake Shack,$535 ,-14.00%,205,10.80%,Fast Casual,Burger
Smoothie King,$483 ,4.70%,"1,007",3.60%,Quick Service,Other Beverage/snack
Sonic Drive-In,"$5,680 ",21.20%,"3,526",0.00%,Quick Service,Burger
Starbucks,"$18,485 ",-13.50%,"15,337",1.90%,Quick Service,Coffee Café
Steak 'n Shake,$765 ,-20.50%,518,-10.20%,Quick Service,Burger
Subway,"$8,318 ",-18.50%,"22,005",-7.50%,Quick Service,Sandwich
Taco Bell,"$11,294 ",0.00%,"6,799",0.50%,Quick Service,Mexican
Taco John's,$388 ,4.70%,389,0.50%,"	Quick Service",Mexican
Texas Roadhouse,"$2,694 ",-13.40%,572,3.40%,Casual Dining,Steak
TGI Fridays,$672 ,-38.00%,340,-11.70%,Casual Dining,Varied Menu
The Capital Grille,$337 ,-27.00%,60,3.40%,Fast Casual,Steak
The Cheesecake Factory,"$1,585 ",-27.30%,206,0.00%,Casual Dining,Varied Menu
The Habit Burger Grill,$465 ,-5.30%,278,5.30%,Fast Casual,Burger
Tim Hortons,"	$511",-22.20%,630,-4.00%,Quick Service,Coffee Café
Tropical Smoothie Cafe,$690 ,19.70%,914,9.60%,Quick Service,Other Beverage/snack
Waffle House,$736 ,-36.00%,"1,960",0.10%,Midscale,Family Style
Wendy's,"$10,231 ",4.80%,"5,881",0.50%,Quick Service,Burger
Whataburger,"$2,698 ",5.60%,844,1.70%,Quick Service,Burger
White Castle,$583 ,0.50%,361,-2.70%,Quick Service,Burger
Wingstop,"$1,823 ",31.00%,"1,359",10.40%,Fast Casual,Chicken
Yard House,$427 ,-30.00%,81,2.50%,Casual Dining,Varied Menu
Zaxby's,"$1,996 ",5.00%,909,0.60%,Fast Casual,Chicken
